Question Text,Correct Answer
Who was the 12-year-old resident of Balintawak whose account was given in 1961?,Vicente Samson
On what date did Vicente Samson claim the event occurred?,August 26 1896
What specific word did Vicente Samson recall being shouted while tearing cedulas?,Mabuhay
Where did Vicente Samson claim the event happened?,Balintawak
Which Katipunan physician claimed the event occurred on August 23 1896?,Pio Valenzuela
What date did Pio Valenzuela claim the event occurred?,August 23 1896
What was the exact shout recorded by Pio Valenzuela?,Mabuhay ang Pilipinas
According to Pio Valenzuela where did the event take place?,Pugad Lawin
Which prominent Katipunero from Cavite claimed the event happened in Bahay Toro?,Santiago Alvarez
On what date did Santiago Alvarez claim the event happened?,August 24 1896
What phrase did Santiago Alvarez record as the shout?,Mabuhay ang Anak ng Bayan
Where did Santiago Alvarez claim the mobilization occurred?,Bahay Toro
Who was the custodian of Katipunan documents who claimed the event happened in Pasong Tamo?,Gregoria de Jesus
On what date did Gregoria de Jesus state the event occurred?,August 25 1896
What was the recorded shout in Gregoria de Jesus's account?,None specified
According to Gregoria de Jesus where did the event take place?,Pasong Tamo
Which Katipunan general claimed the event occurred in Balintawak on August 26 1896?,Guillermo Masangkay
What was the date of the event according to Guillermo Masangkay?,August 26 1896
What was the exact phrase shouted according to Guillermo Masangkay?,Mabuhay ang Kalayaan
Where did Guillermo Masangkay claim the event took place?,Balintawak
