Question Text,Correct Answer
What does a substitution in First-Order Logic essentially do?,Replaces variables with terms|Replaces predicates with constants|Removes all quantifiers|Converts logical sentences to English
If we apply the substitution x/John to the sentence Loves(x Mary) what is the result?,Loves(John Mary)|Loves(x Mary)|Loves(John x)|Loves(Mary John)
What inference rule allows us to replace a universally quantified variable with any ground term?,Universal Instantiation|Existential Instantiation|Modus Ponens|Resolution
What type of term must be used when applying Existential Instantiation?,A new Skolem constant that does not appear elsewhere|Any previously used constant|A universally quantified variable|A boolean variable
Universal instantiation can be applied to a sentence how many times?,Infinite times|Exactly once|Only twice|Never
What is the main idea behind propositionalization in First-Order Logic?,Converting FOL sentences into propositional logic sentences by instantiating all variables|Removing all logic connectives from the knowledge base|Translating propositions into first-order predicates|Solving the proof using only boolean algebra
What problem does propositionalization face when domains are infinite?,The resulting propositional knowledge base becomes infinitely large|It cannot handle the AND logical connective|It automatically generates false inferences|Skolem constants cannot be used
According to Herbrand theorem if a set of clauses is unsatisfiable then what exists?,A finite unsatisfiable subset of its propositionalized clauses|An infinite loop in the inference engine|A universally quantified contradiction|A single valid model
What is the primary purpose of unification in First-Order Logic inference?,To find a substitution that makes different logical expressions identical|To convert universally quantified sentences to existentially quantified ones|To eliminate all negations from a sentence|To evaluate the truth value of a predicate directly
Which algorithm is commonly used to perform unification efficiently?,The Unification algorithm|Depth-First Search|A-star search|The Viterbi algorithm
What do we call a substitution that unifies two expressions and makes the least possible commitment?,Most General Unifier|Minimal Resolution Substitution|First Valid Assignment|Prime Skolemization
If we want to unify Knows(John x) and Knows(y Mother(y)) what is the Most General Unifier?,y/John and x/Mother(John)|x/John and y/John|x/y and y/x|It cannot be unified
What check prevents a variable from being unified with a term containing that same variable?,Occur check|Skolem check|Tautology check|Herbrand check
In a typical First-Order Logic proof using Generalized Modus Ponens what step precedes applying the rule?,Unifying the premises of the rule with known facts|Converting all rules to disjunctive normal form|Evaluating all variables to true or false|Removing all implications
Which theorem states that every first-order logic knowledge base can be propositionalized so as to preserve entailment?,Herbrand theorem|Bayes theorem|de Morgan theorem|Godel incompleteness theorem
What is a ground term in First-Order Logic?,A term containing no variables|A term with exactly one variable|A term that evaluates to false|A nested existential quantifier
What makes Generalized Modus Ponens more powerful than standard Modus Ponens?,It handles variables and applies unification automatically|It only works with propositional logic|It avoids using rules of inference|It checks all possible models
When reducing First-Order Logic to Propositional Logic how are existential quantifiers handled?,By applying Existential Instantiation to replace them with Skolem constants|By converting them to universal quantifiers|By deleting the sentence entirely|By generating infinite variables
Can the expressions P(x) and Q(y) be unified if P and Q are different predicate symbols?,No because the predicate symbols must match|Yes by substituting Q for P|Yes by setting x to y|No because variables cannot be unified
In an automated theorem prover what happens if unification fails during a proof step?,The current line of reasoning cannot proceed and the system backtracks or tries another rule|The system assumes the proof is complete and successful|The system randomly assigns true to all facts|The knowledge base is deleted
