Question Text,Correct Answer
Which theme states that a life not dedicated to a great cause is like a tree without shade or a poisonous weed?,Life with Purpose
What theme teaches that a good deed done for self-interest instead of genuine goodness is not true kindness?,Righteousness
Which theme defines true holiness as charity and love of neighbor and guiding every action by reason?,Real Holiness
What theme asserts that all people are equal regardless of skin color?,Equality
Which theme explains that the noble-minded prioritize honor over self-interest?,Honor over Personal Interest
What theme is reflected in the teaching that a person's word is their oath?,Honor Your Words
Which theme reminds members that lost wealth may return but wasted time never comes back?,Value of Time
What theme instructs members to fight the oppressor and protect the victims?,Defend the Oppressed
Which theme states that an intelligent person is cautious in speech and knows how to guard secrets?,Keeping Secrets
What theme warns that a man guiding his family toward evil will lead them to evil?,Leader Must Lead by Example
Which theme teaches that a woman should be treated with full respect as a partner in hardships?,Respect for Women
What theme states that you should not do to another's family what you do not want done to yours?,Golden Rule
Which theme emphasizes that a person's nobility lies in good character and integrity rather than high position?,Character over Status
What theme envisions that sacrifices will be recompensed when the sun of freedom shines?,Vision for Freedom
Who is the author of the teachings in the Kartilya ng Katipunan?,Emilio Jacinto
How many teachings or Mga Aral are contained in the Kartilya?,14
What does the Kartilya serve as for the members of the Katipunan?,Moral code
