Question Text,Correct Answer
What do Bayesian networks from previous chapters describe compared to Hidden Markov Models?,Static and episodic environments|Dynamic and sequential environments|Only continuous variables|Only completely observable states
In dynamic environments how do random variables behave?,Their values change over time|They remain fixed throughout a single problem instance|They are always perfectly observable|They become independent of all other variables
What does the state variable X_t represent at a specific time slice t?,The unobservable or hidden state of the world|The observable evidence gathered by sensors|The transition probability matrix|The initial state of the environment
What does the observation model or sensor model describe in a Hidden Markov Model?,How the evidence variables get their values given the hidden state|How the world evolves over time|The prior probability of the initial state|The probability of a state given past states
What is the fundamental assumption of the transition model known as the Markov assumption?,The current state depends only on a finite fixed number of previous states|The current state is completely independent of all previous states|The current state depends on all future states|The current state is determined by the current observation
In a first-order Markov process what does the current state depend on?,Only the immediately preceding state|All previous states combined|The initial state only|The current observation
What does the sensor Markov assumption state about the observation E_t?,It depends only on the current state X_t|It depends on all previous observations|It depends on the previous state X_t minus 1|It depends on both the current state and the initial state
Which of the following is a common application of Hidden Markov Models?,Speech recognition and robot localization|Solving deterministic logic puzzles|Proving first order logic theorems|Generating static Bayesian networks
In a speech recognition HMM what typically represents the observations?,Acoustic signals or features for a time period|Phonetic sounds in specific words|Translation options|Positions on a map
In a Hidden Markov Model diagram what does a directed edge from previous state to current state represent?,The transition model showing state evolution over time|The sensor model generating an observation|The dependency of an observation on a previous state|The exact inference calculation
In an HMM diagram what does a directed edge from a state to its evidence variable represent?,The observation model where a state influences the evidence variable|The transition model between time slices|The smoothing process working backwards|The filtering process updating beliefs
Why are environments modeled by HMMs considered sequential?,Because the current state depends on past states and influences future states|Because variables can only take boolean values|Because observations are always perfectly accurate|Because the environment resets after every time slice
What is the role of the transition probability distribution P(current state given previous state)?,It quantifies the likelihood of moving from one state to the next|It determines the probability of the initial state at time zero|It measures the noise in the sensor readings|It calculates the final expected utility of an action
What happens to the joint probability of a sequence of states and observations in an HMM due to Markov assumptions?,It simplifies into a product of individual transition and observation probabilities|It requires an exponentially large single probability table|It becomes impossible to compute exactly|It reduces to zero for long sequences
In robot tracking applications using HMMs what do the hidden states typically represent?,Positions on a map|Continuous range readings|Acoustic signals|Words in a sentence
