Question Text,Correct Answer
According to the WHO 1948 definition what is health?,A state of complete physical mental and social well-being|Merely the absence of disease or infirmity|The holistic integration of the mind and spirit|The freedom to choose to do and be what one values
How did Sen describe well-being in 1999?,A situation in which people are free to choose to do and be what they value|The holistic integration of physical mental and spiritual states|A state of complete physical and mental well-being|The absence of disease or infirmity
Which dimension of wellness involves finding ways to expand knowledge and skills?,Intellectual|Spiritual|Social|Occupational
Which dimension of wellness focuses on personal satisfaction and enrichment derived from work?,Occupational|Financial|Social|Environmental
What is a health hazard?,A probability or chance of suffering harm from an agent|A guaranteed certainty of disease or death|A global outbreak of an infectious disease|A holistic integration of physical well-being
Unsafe working conditions and poverty fall under which category of health hazards?,Cultural Hazards|Chemical Hazards|Natural Hazards|Lifestyle Choices
Smoking and poor food choices are classified as which type of health hazard?,Lifestyle Choices|Cultural Hazards|Natural Hazards|Chemical Hazards
What distinguishes non-communicable diseases from communicable ones?,They do not spread from person to person|They are caused exclusively by living organisms|They are treated solely with antibiotics|They are spread through air and water vectors
What is the main difference between an epidemic and a pandemic?,A pandemic is a global outbreak while an epidemic is limited to a specific region|An epidemic is a global outbreak while a pandemic is limited to a specific region|An epidemic is caused by viruses while a pandemic is caused by bacteria|A pandemic only affects animals while an epidemic affects humans
Which of the following is a characteristic of bacterial infections rather than viral infections?,They are usually localized and can be treated with antibiotics|They invade host cells to hijack genetic machinery|They are smaller than viruses and always systemic|They cannot be treated with antibiotics under any circumstances
Which action contributes significantly to antibiotic resistance?,Patients stopping their prescribed antibiotics early|Washing hands properly with soap and water|Completing the full course of prescribed medication|Using rapid lab tests for quick diagnosis
How does unnecessary antibiotic use in agriculture affect human health?,It promotes resistant bacterial strains that enter the human food chain|It kills viruses that harm livestock populations|It reduces the need for vaccines in farm animals|It improves the nutritional value of meat products
Cholera and typhoid usually enter the human body through which route?,Fecal-oral route|Respiratory route|Vector-borne route|Direct contact
Malaria is transmitted to humans via mosquitoes. This is an example of which transmission route?,Vector-borne route|Sexual transmission|Fecal-oral route|Direct contact
Based on the 2011 to 2013 Philippine health data what was the consistent top cause of death?,Diseases of the Heart|Pneumonia|Malignant Neoplasms|Tuberculosis
Which non-communicable disease showed a sharp upward trend in mortality in the Philippines from 2011 to 2013?,Diabetes Mellitus|Asthma|Tuberculosis|Pneumonia
What does the acronym SARS-CoV-2 stand for?,Severe Acute Respiratory Syndrome-related Coronavirus|Severe Airborne Respiratory Syndrome Coronavirus 2|Systemic Acute Respiratory Syndrome Coronavirus|Severe Animal Respiratory Syndrome Coronavirus
On what date did the WHO declare COVID-19 a global pandemic?,March 11 2020|Late December 2019|March 1 2020|Mid 2020
Where were the first cases of COVID-19 identified?,Wuhan China|Bay Area United States|Metro Manila Philippines|Sub-Saharan Africa
Which COVID-19 diagnostic test is considered the gold standard and detects viral RNA?,RT-PCR Test|Rapid Serology Test|ELISA Test|Antibody Finger Prick Test
What do rapid serology tests for COVID-19 primarily detect?,IgM and IgG antibodies|Viral RNA sequences|Bacterial co-infections|SARS-CoV-2 spike proteins directly
Which organization primarily focuses on animal health and veterinary standards in the One Health framework?,OIE|WHO|FAO|UNEP
What is the primary focus of the One Health approach?,The interconnected health of people animals and the environment|Exclusively tracking human infectious diseases globally|Developing agricultural pesticides for local farmers|Funding hospitals in less-developed countries
What is a zoonotic disease?,An illness transmitted from animals to humans|An illness that only affects wildlife and pets|A non-communicable disease caused by lifestyle choices|A genetic disorder inherited from parents
Who led the development of the local rRT-PCR Detection Kit in the Philippines?,Dr. Raul Destura|Rev. Nicanor Pier Giorgio Austriaco|Assoc. Prof. Bernhard Egwolf|Dr. Jose Rizal
What was the primary focus of the UST CoV-2 Epidemiological Model developed by Thomasian scientists?,Predicting future pandemic behavior in Metro Manila|Creating a new local vaccine for COVID-19|Tracking animal-to-human transmission in rural farms|Manufacturing rapid antibody test kits
Which of the following is an example of an infectious disease entering via the respiratory route?,Tuberculosis|Cholera|HIV|Rabies
Which environmental health organization is part of the main One Health working groups?,UNEP|OIE|FAO|WHO
According to the text which disease was projected to see a 100 percent increase in deaths in Sub-Saharan Africa due to healthcare disruptions in 2020?,Malaria|COVID-19|Tuberculosis|Diabetes
What term describes the holistic integration of physical mental and spiritual well-being?,Wellness|One Health|Epidemic|Health Hazard
