Question Text,Correct Answer
Which component of the One Health Triad is often considered neglected?,Environment|Animal health|Human health|Ecosystem balance
Why is the environment important according to the World Health Organization?,Animals and humans share ecosystems and microbes|It generates pure economic growth|It prevents urbanization entirely|It stops all natural disasters
What compromises the ecological and environmental integrity of living systems?,Climate change|Economic growth|Zero Open Defecation|Built environments
Who experiences the greatest impact of poor environmental quality?,People whose health status is already at risk|Wealthy populations in rural areas|Animals in protected sanctuaries|People living in high altitude regions
Poor air and water quality contributes to which of the following health issues?,Cardiovascular diseases and asthma|Genetic mutations and hair loss|Bone fractures and sprains|Skin pigmentation and blindness
Which aspect of a built environment directly affects a person's lifestyle?,Transportation and parks|Atmospheric pressure|Ocean currents|Natural forest fires
What is a major cause of land air and water pollution mentioned in the text?,Excessive and improper waste disposal|Solar energy farming|Organic agriculture practices|Creating new national parks
What term describes the process where large numbers of people concentrate in relatively small areas?,Urbanization|Ruralization|Agglomeration|Ecosystem shifting
According to the Philippine Statistics Authority what portion of the country's population resides in urban areas?,More than half|Less than a quarter|Exactly one third|Almost the entire population
In which region does the Philippines have the second highest average urban density?,East Asia and Pacific Region|Southeast Asia and Atlantic Region|Western Pacific Region|Central Asia and Indian Ocean Region
What is identified as a major obstacle to economic growth in Filipino cities?,Weak infrastructure and land management|Too much open space|Excessive innovation demand|Overabundance of financial access
Which type of crisis is described as the real energy crisis in the presentation?,Energy poverty|Fossil fuel depletion|Nuclear meltdowns|Solar panel shortages
What does a land governance crisis lead to in cities?,Congestion and an Urban Nightmare|Increased agricultural output|Better infrastructure planning|Enhanced recreational areas
How does increased heat from climate change affect typhoons?,It creates stronger and more destructive typhoons|It makes typhoons less frequent|It causes typhoons to bypass islands|It completely stops typhoons from forming
Extended periods of drought brought by weather pattern changes directly affect which sector?,Agricultural sector|Technology sector|Mining sector|Entertainment sector
Which specific area is mentioned to be at risk of being engulfed by rising sea levels in 30 years?,Greater Manila|Central Visayas|Northern Luzon|Mindanao highlands
According to a 2019 report by the Institute for Economics and Peace which country is most at risk from the climate crisis?,Philippines|Japan|Indonesia|Bangladesh
What is a primary goal of the National Environmental Health Action Plan?,Preventing environmental health related diseases|Stopping all urbanization|Building more coal plants|Privatizing water supply entirely
Which program is part of the initiatives to save the Philippine environment?,Zero Open Defecation Program|Maximum Urbanization Initiative|Fossil Fuel Expansion Plan|Industrial Waste Promotion
What must be guaranteed in every community under the National Environmental Health Action Plan?,Sustainable Environmental Sanitation services|Free internet access|Private vehicle ownership|Unlimited electricity supply
