Question Text,Correct Answer
Who is known as the Father of Biodiversity?,Edward O. Wilson|Thomas Lovejoy|Richard Hall|Charles Darwin
Who first introduced the term Biological Diversity to the Scientific Community in 1980?,Thomas Lovejoy|Edward O. Wilson|Richard Hall|Albert Einstein
Approximately how many years of evolution produced current biodiversity?,3.5 billion years|1.5 billion years|4.5 billion years|100 million years
Which level of biodiversity involves the variety of habitats across a landscape?,Ecosystem Diversity|Species Diversity|Genetic Diversity|Population Diversity
Which biodiversity level provides the raw material for adaptation ensuring a population can survive a localized disease outbreak?,Genetic Diversity|Species Diversity|Ecosystem Diversity|Biome Diversity
The extraordinary variety of life on Earth from genes and species to ecosystems is referred to as what?,Biodiversity|Evolution|Ecosystem balance|Endemicity
Approximately how many species are currently named and discovered?,1.7 to 2 million|100 million|3.5 billion|20 thousand
What is the estimated total number of species on Earth according to the text?,100 million|1.7 to 2 million|3.5 billion|20 thousand
Which ecosystem service acts as a one health shield balancing the climate and naturally filtering pathogens?,Regulating Services|Provisioning Services|Supporting Services|Cultural Services
Which ecosystem service provides our food and medicine?,Provisioning Services|Regulating Services|Supporting Services|Cultural Services
Which ecosystem service keeps the environment fertile?,Supporting Services|Provisioning Services|Regulating Services|Cultural Services
Which ecosystem service provides inspiration and spiritual connection with the wild?,Cultural Services|Supporting Services|Regulating Services|Provisioning Services
Which animal is given as an example of an endemic species in Antarctica?,Emperor penguin|Northern Luzon Cloud Rat|Komodo dragon|Polar bear
Where is the Northern Luzon Cloud Rat endemic to?,Luzon Philippines|Antarctica|Komodo Island Indonesia|Borneo
The Philippines is an amalgamation of how many islands with different origins?,7000|100|20000|3000
The Philippines has the highest concentration of what per square kilometer in the world?,Unique species|Invasive species|Aroids|Endangered mammals
Being designated as a biodiversity hotspot means a region must have lost at least what percentage of its original natural habitat?,70 percent|50 percent|30 percent|90 percent
Which researcher discussed the geological history of the Philippines in 2002?,Richard Hall|Edward O. Wilson|Thomas Lovejoy|Charles Darwin
Which Sustainable Development Goal refers to Life Below Water?,SDG 14|SDG 13|SDG 15|SDG 12
Which Sustainable Development Goal is focused on Climate Action?,SDG 13|SDG 14|SDG 15|SDG 11
What is a major anthropogenic impact that brings about population size reductions and species extinctions?,Habitat loss|Natural evolution|Genetic drift|Speciation
What term describes the gathering and selling of wildlife that severely impacts their population in the wild?,Illegal Wildlife Trade|Provisioning Services|Citizen Science|Ecosystem filtering
Which Philippine law is also known as the Wildlife Act?,Wildlife Resources Act of 9147|Biodiversity Protection Act|Ecosystem Conservation Act|Environmental Resources Law
Which group of native plants is listed as highly affected by the COVID-19 pandemic plant craze?,Aroids|Orchids|Cacti|Succulents
Why are wild native plants often considered saleable compared to exotic ones?,They have a cheap price|They require more water|They are harder to find|They grow much slower
What is a potential negative effect of the popularity of native plant gardening?,Disruption of food chains|Increased genetic diversity|Better air quality|Enhanced ecosystem buffering
How does the DENR primarily combat the illegal wildlife trade?,Conducting Education Campaigns|Importing more exotic species|Promoting the sale of aroids|Removing scientific databases
What involves ordinary people and students volunteering to collect and share scientific data?,Citizen Science|Cultural Services|Supporting Services|Ecosystem Diversity
According to the World Health Organization what consequence arises if ecosystem services fail to meet social needs?,Significant direct human health impacts|Immediate global cooling|Increase in genetic diversity|Rapid speciation
Which disease is listed as a zoonotic disease due to close contact with wildlife?,Rabies|Diabetes|Hypertension|Asthma
