Question Text,Correct Answer
"What Republic Act protects the rights of scientists, engineers, researchers, and other S&T personnel in government?","RA 8349"
"What is the name of RA 8349 which protects the rights of S&T personnel in government?","Magna Carta for S&T Personnel"
"What Republic Act provides scholarships for students pursuing science and technology courses?","RA 7687"
"What is the name of RA 7687 which provides scholarships for S&T students?","S&T Scholarship Act of 1994"
"What Republic Act provides incentives for Filipino inventors and their inventions?","RA 7459"
"What is the name of RA 7459 which provides incentives for Filipino inventors?","Inventors and Inventions Incentives Act"
"What Republic Act protects intellectual property rights in the Philippines?","RA 8293"
"What is the name of RA 8293 which protects intellectual property rights?","Intellectual Property Code of the Philippines"
"What Republic Act addresses air pollution and was signed under Estrada?","RA 8749"
"What is the name of RA 8749 which addresses air pollution?","Clean Air Act of 1999"
"What Republic Act governs electronic transactions and communications?","RA 8792"
"What is the name of RA 8792 which governs electronic transactions and communications?","Electronic Commerce Act of 2000"
"What Republic Act mandates the use of biofuels to reduce dependence on imported fossil fuels?","RA 9367"
"What is the name of RA 9367 which mandates the use of biofuels?","Biofuels Act"
"What Republic Act promotes mechanization in agriculture and fisheries?","RA 10601"
"What is the name of RA 10601 which promotes mechanization in agriculture and fisheries?","AfMech Law"
