"Question Text","Correct Answer"
"Add BX to AX and store result in AX:\n___","ADD AX, BX"
"Add the word at DS:0200H and CX, storing the result in memory:\n___","ADD [200], CX"
"Subtract 0034H from 0056H (in AX):\nMOV AX, 0056H\n___","SUB AX, 0034H"
"Perform the upper half of a 32-bit addition, adding 24H to BX with carry:\n___","ADC BX, 24H"
"Perform the upper half of a multi-word subtraction, subtracting BX from AX with borrow:\n___","SBB AX, BX"
"Advance the pointer SI to the next byte (does not affect CF):\n___","INC SI"
"Subtract 1 from register BL (does not affect CF):\n___","DEC BL"
"Explicitly add 1 to the WORD starting at DS:BX to resolve ambiguity:\n___","INC WORD PTR [BX]"
"Multiply AL by CL (unsigned), storing the 16-bit product in AX:\n___","MUL CL"
"Multiply AL by DH (signed), storing the product in AX:\n___","IMUL DH"
"Multiply AX by CX (unsigned), storing the 32-bit product in DX:AX:\n___","MUL CX"
"Divide AX by 3 (in CL), storing quotient in AL and remainder in AH:\n___","DIV CL"
"Divide AX by BL (signed), storing quotient in AL and remainder in AH:\n___","IDIV BL"
"Sign-extend AX into DX:AX before a 16-bit division:\n___","CWD"
"Divide DX:AX by CX (unsigned), storing quotient in AX and remainder in DX:\n___","DIV CX"
"Clear the upper nibble (bits 7 to 4) of BL using a bitwise operation:\n___","AND BL, 0FH"
"Set the 2 rightmost bits (bits 1 and 0) of DI using a bitwise operation:\n___","OR DI, 0003H"
"Test if DX is zero without changing its data:\n___\nJZ exit","OR DX, DX"
"Flip ALL bits of BL (complement) using an exclusive bitwise operation:\n___","XOR BL, 0FFH"
"Zero out register AX using the fastest method (same operand):\n___","XOR AX, AX"
"Check if CX is zero, discarding the result but updating flags:\n___\nJZ exit","TEST CX, 0FFH"
"Reverse every single bit in BL (ones complement without affecting flags):\n___","NOT BL"
"Convert BL to its twos complement (flip bits and add 1):\n___","NEG BL"
"Multi-step logic to change bits 10 to 5 of CX.\nFirst, clear bits 10 to 5:\n___\nThen, insert the new value 0660H:\n___","AND CX, 0F81FH|OR CX, 0660H"
"Set up an 8-bit unsigned division for 50 divided by 5.\nLoad dividend:\nMOV AL, 50\nClear upper half:\n___\nLoad divisor and divide:\nMOV CL, 5\n___","MOV AH, 0|DIV CL"
