Question Text,Correct Answer
What landmark achievement represents early Filipino engineering and agricultural science during the pre-colonial period?,Banaue Rice Terraces
What early systems were developed and used for trading during the pre-colonial period?,Writing and measurement systems
What replaced the Laboratorio Municipal during the American occupation?,Bureau of Government Laboratories
In what year was the National Research Council of the Philippines (NRCP) established?,1933
What agency replaced the Bureau of Science in 1946?,Institute of Science
Which Philippine president mandated DepEd to promote science courses in public high schools?,Ferdinand Marcos
Under whose administration was the National Science and Technology Authority renamed DOST?,Corazon Aquino
Who created the Doctor to the Barrio program?,Fidel Ramos
Which president signed the Clean Air Act of 1999?,Joseph Estrada
What initiative did Gloria Macapagal-Arroyo launch to make the Philippines an innovation hub?,Filipinnovation
Which president recognized National Scientists like Gavino C. Trono and Angel C. Alcala?,Benigno Aquino III
Under which administration were the Diwata-1 and Diwata-2 microsatellites deployed?,Rodrigo Duterte
What does the acronym PAGASA stand for?,Philippine Atmospheric Geophysical and Astronomical Services Administration
What does NAST stand for?,National Academy of Science and Technology
Who invented the SALT Lamp?,Aisa Mijeno
How is the SALT Lamp powered?,Saltwater
What is the tricycle capable of traversing both land and water useful during floods?,Salamander Amphibious Tricycle
Who invented the Salamander Amphibious Tricycle?,Atoy Llave
Who designed a bamboo-based medical incubator for premature infants?,Dr. Fe del Mundo
What trap is used for dengue prevention by targeting mosquito eggs and larvae?,Mosquito Ovicidal/Larvicidal Trap
Who discovered the antibiotic Erythromycin?,Abelardo Aguilar
Who invented the mole remover?,Rolando Dela Cruz
What natural ingredient is the mole remover Dewart derived from?,Annacardium occidentale
Who invented Banana Ketchup?,Maria Orosa
What Filipino cultural symbol was created by repurposing American jeeps post-WWII?,Jeepney
What is one adverse environmental impact of S&T?,Depletion of natural resources
What is Martin Heidegger's reference work regarding technology?,The Question Concerning Technology
What definition describes technology as a means to an end?,Instrumental definition
What definition describes technology as a human activity focused on tools and machines?,Anthropological definition
Did Heidegger believe his two definitions capture the true essence of technology?,No
How did Heidegger view the true essence of technology?,Way of revealing
What does modern technology extract and order nature to be according to Heidegger?,Standing-reserve
What is modern technology's primary tool according to Heidegger?,Humans
What is the term for when modern technology challenges humans to impose order on nature?,Enframing
What is the desire to put an order to nature characteristic of modern technological thinking called?,Calculative Thinking
What type of thinking allows nature to reveal itself in a reflective open mode?,Meditative Thinking
What analogy describes technology as a symbol of power with an ever-present threat?,Sword of Damocles
What is the process that produces identical copies of DNA for cell division?,DNA Replication
What process creates an mRNA copy of a gene's sequence?,Transcription
