Question Text,Correct Answer
What assembler pseudo-operation allocates one byte of memory and can hold integers or characters?,DB
Which of the following data definition directives allocates exactly 64 bits of memory?,DQ|DD|DW|DB
Directives are NOT real machine instructions and produce no ___ at runtime.,opcode
What is the result of using the ? symbol in an uninitialized data definition directive?,It reserves space but leaves the value undefined.|It initializes the memory to zero.|It creates a null-terminated string.|It assigns a random value generated by the assembler.
"Each character in a quoted string defined by a DB directive is stored as its ___ code in a separate consecutive byte.",ASCII
What directive is most commonly used for storing 32-bit far pointers for LDS and LES instructions?,DD
How many bytes of memory does the directive ARR03 DW 4 DUP(0) reserve in total?,8 bytes|4 bytes|2 bytes|16 bytes
"The 8088 processor stores multi-byte values in ___ format, meaning the least significant byte is stored at the lower address.",little-endian
What directive assigns a symbolic name to a constant value but does NOT allocate any memory?,EQU
Which of the following statements about the EQU directive is true?,It is a text substitution performed before machine code is generated.|It reserves 2 bytes of memory for integer counters.|Its values can be modified dynamically at runtime.|It can only hold string literals.
A string defined with DB does not have an automatic ___ terminator and one must be added manually if needed.,null
"If you define an array using DB with values 3, 2, and 6, how is it stored in memory?","As 3 consecutive bytes containing 03H, 02H, and 06H.|As 3 words containing 0003H, 0002H, and 0006H.|As a single byte containing the sum of the numbers.|As an uninitialized string."
To create a repeated pattern in memory you would use the ___ operator.,DUP
What is the size in bits of a Word allocated by the DW directive?,16
"Why will the instruction MOV AX, [COUNT] fail to work as intended if COUNT was defined using the EQU directive?","Because COUNT does not have a memory address.|Because EQU values must always be loaded into the BX register.|Because COUNT holds a string instead of a numerical value.|Because the brackets imply a 32-bit segment offset."
