Question Text,Correct Answer
Directives are real machine instructions that produce an opcode at runtime.,False
What directive is used to allocate one or more 8-bit values?,DB
What does the DW directive allocate?,16 bits|8 bits|32 bits|64 bits
The ___ directive is used to allocate 64-bit values for large integers or floating-point values.,DQ
What suffix is used to denote a hexadecimal value in assembly?,H
What happens when you use a question mark in a data definition directive?,It reserves space but leaves the value undefined|It initializes the memory to zero|It causes a syntax error|It prompts the user for input at runtime
In a string defined by DB each character is stored as its ___ code in a separate consecutive byte.,ASCII
A string defined with DB automatically includes a null terminator.,False
How does the DUP operator function in assembly?,It duplicates a specified value a given number of times|It deletes uninitialized memory|It duplicates the entire data segment|It doubles the size of a defined variable
The code ARR03 DW 4 DUP(0) reserves a total of ___ bytes in memory.,8
The 8088 architecture stores multi-byte values using big-endian format.,False
In little-endian format which byte is stored at the lower address?,Least significant byte
The DD directive is mostly used for storing 32-bit ___ pointers.,far
What does the EQU directive do?,Assigns a symbolic name to a constant value|Allocates memory for a constant|Moves data from memory to a register|Reserves undefined memory space
The EQU directive evaluates values at runtime.,False
What acts like a pure text substitution performed by the assembler before machine code generation?,EQU
Why will the instruction MOV AX [COUNT] fail if COUNT was defined using EQU?,EQU constants have no memory address|EQU values are strings only|EQU is evaluated at runtime|AX is an incompatible register
The instruction ___ destination source copies data from a source to a destination.,MOV
A memory-to-memory data transfer using a single MOV instruction is perfectly legal.,False
What instruction atomically swaps the contents of two operands without needing a temporary register?,XCHG
The instruction ___ loads the offset address of a memory location into a register.,LEA
What is the primary difference between LDS and LES?,LDS uses the DS register while LES uses the ES register|LDS is for strings while LES is for math|LDS uses 16 bits while LES uses 32 bits|LDS loads an offset while LES loads a value
The LEA instruction requires 4 clock cycles while MOV OFFSET requires 8 clock cycles.,False
What register keeps track of the top of the stack alongside the Stack Segment register?,SP
The stack in 8088 assembly operates on a ___ principle.,LIFO
What happens to the Stack Pointer when a PUSH instruction is executed?,It decreases by 2|It increases by 2|It decreases by 1|It increases by 1
It is entirely valid to execute a POP CS instruction.,False
What instruction pushes the flags register onto the stack?,PUSHF
To properly restore registers pushed in the order AX BX CX you must POP them in the order ___ ___ ___.,CX|BX|AX
What does the Direction Flag control in string operations?,Whether SI and DI auto-increment or auto-decrement|Whether strings are read from memory or disk|Whether upper case letters are converted to lower case|Whether the operation uses 8-bit or 16-bit registers
The STD instruction clears the direction flag making string operations move forward through memory.,False
What instruction sets the direction flag to 1 causing auto-decrement?,STD
The ___ prefix causes a string instruction to repeat automatically until CX reaches zero.,REP
Which register is decremented automatically when the REP prefix is used?,CX|AX|BX|DX
The LODS instruction loads data from DS:SI into the ___ or ___ register.,AL|AX
The STOS instruction stores the contents of AL or AX into memory at DS:DI.,False
Which string instruction copies data directly from one memory area to another?,MOVS
After a MOVSW instruction is executed with D=0 how much are SI and DI adjusted?,+2|+1|-1|-2
To clear 10 bytes of memory faster using REP STOSW you should set CX to ___.,5
Which string instruction is the ONLY practical way to do a direct memory-to-memory transfer in 8088 assembly?,MOVS|MOV|XCHG|LODS
You can override the Extra Segment for the destination in a MOVS instruction.,False
What register holds the destination offset for STOS and MOVS operations?,DI
The instruction XCHG AX BX swaps registers and requires ___ byte(s) of opcode.,1
If you PUSH a register onto the stack which byte is stored at the higher memory address?,The high byte|The low byte|Both bytes simultaneously|Neither byte
When setting up a far pointer using DD the low word contains the ___ and the high word contains the ___.,offset|segment
What 8088 hardware limitation prevents direct memory-to-memory MOV instructions?,Bus cycle
The source operand is never modified during a MOV instruction.,True
What is the main advantage of using string instructions over manual loops with MOV?,They require far fewer instructions per byte transferred|They do not require the direction flag|They do not use the CX register|They automatically allocate memory
The code \nCOPY: MOV AL [SI]\nMOV [DI] AL\nINC SI\nINC DI\nLOOP COPY\nachieves the exact same result as the single instruction ___ ___.,REP|MOVSB
What instruction clears the direction flag?,CLD
