Question Text,Correct Answer
Emilio Jacinto is the author of the Kartilya ng Katipunan.,True
The Kartilya ng Katipunan contains 10 moral teachings.,False
The first teaching of the Kartilya compares a life without purpose to a tree without shade.,True
According to the Kartilya, all people are equal regardless of their skin color.,True
The noble-minded person prioritizes self-interest over honor.,False
The Kartilya teaches that a person's word should be treated as their oath.,True
Lost time is described as something that can eventually be recovered like wealth.,False
True holiness is defined as charity, love of neighbor, and actions guided by reason.,True
A leader must lead by example because if he leads toward evil, his followers will do the same.,True
The Kartilya regards women as mere playthings for men.,False
The "Golden Rule" in the Kartilya mentions respecting the wife, child, and sibling of others.,True
Nobility is determined by one's high position and the whiteness of their skin.,False
Pio Valenzuela's account of the Cry of the Revolution took place in Pugad Lawin.,True
Santiago Alvarez was a primary eyewitness to the Cry of the Revolution.,False
Gregoria de Jesus was the wife of Andres Bonifacio and custodian of Katipunan documents.,True
Guillermo Masangkay claimed the Cry occurred on August 26, 1896, in Balintawak.,True
Pio Valenzuela never changed his testimony regarding the date and place of the Cry.,False
Santiago Alvarez's account records the shout as "Mabuhay ang Anak ng Bayan.",True
The first wave of nationalism in the Philippines was the movement for Independence.,False
The Propaganda Movement focused on assimilation rather than separation from Spain.,True
The third wave of nationalism was characterized by the Katipunan and separation from Spain.,True
"Pag-ibig sa Tinubuang Lupa" was a poem written by Emilio Jacinto.,False
Andres Bonifacio's nationalistic poem was inspired by Rizal's "El Amor Patrio.",True
The poem "Pag-ibig sa Tinubuang Lupa" follows an AABB rhyme scheme.,False
Francisco Balagtas was born in Bigaa, Bulacan.,True
"Florante at Laura" is written in the "awit" format.,True
The "awit" format consists of 12 lines per stanza.,False
A "cesura" in Florante at Laura is a pause after the 6th syllable.,True
Francisco Balagtas wrote "Kay Celia" for his wife, Gregoria de Jesus.,False
In the "awit" format, each stanza is usually a complete, grammatically correct sentence.,True
