Question Text,Correct Answer
Which category of ecosystem services includes tangible goods harvested from the environment like food and water?,Provisioning services|Regulating services|Supporting services|Cultural services
What type of ecosystem service involves climate regulation and flood management?,Regulating services|Provisioning services|Supporting services|Cultural services
Which ecosystem service forms the basis for all other types of services by providing nutrient cycling and soil formation?,Supporting services|Cultural services|Regulating services|Provisioning services
Recreational benefits and spiritual connections fall under which type of ecosystem service?,Cultural services|Regulating services|Supporting services|Provisioning services
According to the 2009 estimate what was the ecosystem services value for the entire biosphere?,$149.61 trillion|$71 trillion|$2 billion|$10 million
How do wetlands help in flood prevention?,By soaking up floodwater to reduce peak flow|By increasing the speed of water movement|By acting as a source of drinking water|By generating electricity during storms
What is the common name of Cassia fistula which acts as a dust arresting avenue plant?,Golden Shower Tree|Devil Tree|Cluster fig|Black plum
Which tree has seed powder used to treat Diabetes mellitus?,Syzygium cumini|Ficus racemosa|Alstonia scholaris|Cassia fistula
What tree is considered sacred in Hinduism and Buddhism?,Ficus racemosa|Syzygium cumini|Alstonia scholaris|Cassia fistula
What term describes the value of nature when we use plants as food or derive medicines directly from them?,Direct use value|Indirect use value|Option value|Non-consumptive value
What type of value is assigned to products of nature consumed directly without passing through a market?,Consumptive use value|Productive use value|Aesthetic value|Option value
If you buy fish from a market what type of direct use value does it represent?,Productive use value|Consumptive use value|Social value|Aesthetic value
What term describes services provided by a plant or animal just by virtue of its existence in the wild?,Indirect use value|Consumptive use value|Productive use value|Direct use value
What type of value acknowledges that every species has a moral right to exist on earth?,Ethical and Moral value|Economic value|Aesthetic value|Productive use value
What is a non-native species that causes harm to the environment or human health called?,Invasive Alien Species|Endemic Species|Consumptive Species|Keystone Species
Which invasive species was introduced by Imelda Marcos and became a pest to farmers?,Golden Kuhol|Devil Tree|Cluster fig|Cassia fistula
The dependency of industries and agriculture on biological products to generate income represents which value?,Economic value|Aesthetic value|Moral value|Option value
Which value of biodiversity emphasizes the beauty of the world provided by nature?,Aesthetic value|Economic value|Productive use value|Scientific value
Nature managing wastes so they do not accumulate is an example of which value?,Ecological value|Option value|Aesthetic value|Consumptive use value
The invention of Velcro from studying Galium aparine is an example of which biodiversity value?,Scientific or Educational value|Aesthetic value|Cultural value|Spiritual value
What value refers to the untapped potential of undiscovered species that might be useful in the future?,Option value|Productive use value|Ecological value|Aesthetic value
Which philosopher denied that animals are proper objects of moral concern because they lack reason?,Saint Thomas Aquinas|Baba Dioum|Imelda Marcos|Socrates
What is the systematic exploration of biodiversity for commercially valuable genetic and biochemical resources called?,Bioprospecting|Biopiracy|Consumptive use|Ecological management
Which of the following is a recognized benefit or pro of bioprospecting?,Uncovering new drugs and therapeutic agents|Loss of cultural knowledge|Habitat destruction|Biopiracy
What term describes the unauthorized and unethical exploitation of traditional knowledge or biological resources?,Biopiracy|Bioprospecting|Productive use|Consumptive use
Which of the following is considered a negative consequence or con of bioprospecting?,Inequitable distribution of benefits|Creation of economic opportunities|Medical advancements|Incentivizing biodiversity conservation
Harvesting firewood by cutting down a tree yourself is an example of what specific value?,Consumptive use value|Productive use value|Regulating service|Option value
Which ecosystem service is directly responsible for saving farmers two billion dollars annually?,Pollination|Flood management|Water purification|Waste breakdown
According to Baba Dioum what must happen before we will conserve something?,We must love it|We must profit from it|We must consume it|We must discover its option value
Marine systems contributed to approximately what percentage of the ecosystem services value?,75.15%|50%|25.5%|10%
